text,class
"Заказ оформлен, но скидка так и не была учтена. Мой заказ отменили, хотя я ждал его несколько часов. Не проходит платеж через карту, приходится искать другую. Платежи не проходят, приходится перезапускать приложение. Курьер разводит руками - моего заказа у него нет. А где он тогда? Сложно рассчитать бюджет на заказ, когда стоимость меняется каждые пять минут. Это очень неудобно. Печально, но ваша когда-то молниеносная доставка превратилась в черепаху. Раньше было в разы быстрее. Приложение запутанное, сложно найти нужные функции. Оплата картой не работает, постоянно сбои.",26 32 48 48 13 9 1 41 48
"Вместо моего заказа - пустота. Куда всё пропало? Почему акции разбросаны по всему каталогу? Невозможно найти все выгодные предложения в одном месте. Каталог слишком запутанный, не могу найти нужные товары. Ваша минимальная сумма заказа отпугивает новых клиентов. Я вот точно больше не вернусь из-за этого. Я в шоке! Оказывается, вы не доставляете в наш жилой комплекс. А ведь он совсем новый и удобно расположен. Пытался применить акцию, но в корзине цена не изменилась.",13 47 47 10 6 26
"Очень неудобное приложение, интерфейс требует доработки. Заказ пришел неполным. Отсутствует несколько позиций. Почему так? Почему не сработала скидка 15% на заказ после 22:00? Почему нет компенсации за опоздания?",41 13 26 37
"Отметил, что живу в частном доме, нужно позвонить. Курьер не мог найти дом. Для чего нужны комментарии, если их игнорируют? Акция '4 по цене 3' на йогурты не отражается в итоговой сумме.",17 26
"Очень нравится ваша служба, но было бы здорово иметь бонусы для постоянных клиентов. Это сводит с ума - невозможно завершить заказ из-за постоянных изменений суммы.",22 9
"Очень неприятно, когда ждешь полный заказ, а привозят половину без объяснений и альтернатив. Привезли испорченные овощи, они гнилые. Почему корзинная скидка не распространяется на все товары? Почему заказ отменили перед доставкой? После долгого ожидания заказ был отменен. Доставили хлеб, покрытый плесенью. Отвратительно! Я потратил больше времени на докладывание товаров, чем на сам выбор продуктов. Не хватает ранней доставки, хотелось бы начать с 6 утра. Долго ждал заказ, но его отменили. Оплатила заказ через СБП, но деньги списались дважды. Уже неделю пытаюсь вернуть лишнее.",7 40 24 32 32 15 9 46 32 48
"Привезли испорченное молоко, упаковка вздутая. Заказывал десять позиций, а привезли только восемь. Где остальные? Пожалуйста, продлите время работы доставки хотя бы до полуночи. Привезли испорченные фрукты, они уже гнилые.",40 13 46 40
"Скидка в корзине действует не на все товары, это непонятно. Почему у вас такая огромная наценка на все товары? В магазине у дома гораздо дешевле. Возврат денег длится слишком долго. Приложение постоянно зависает, невозможно оформить заказ. Я чувствую себя как на аукционе - цена меняется прямо на глазах. Промокод из рекламного письма не сработал. Было бы отлично иметь возможность следить за движением курьера на карте в приложении. Доставка была в срок, но заказа в ней нет. Как такое возможно? В Ozon Express собрали бы и доставили уже три таких заказа за это время. Деньги за отмененный заказ так и не вернули.",25 12 49 42 9 26 5 13 36 49
"Совсем не соответствует модным стандартам. Сервис полностью разочаровал. Удалили товары из заказа, не сообщив об этом. Не могу привязать карту к программе СберСпасибо. Техподдержка не отвечает уже третий день.",39 7 45
"Хотелось бы видеть местоположение курьера на карте для более точного планирования. Ваша минимальная сумма заказа просто космическая! Не у всех есть возможность столько тратить на доставку. За опоздание заказа нужна компенсация. Сойдёт, нормальное обслуживание. Курьер приехал без моего товара. Говорит, что его не было на складе. Отвратительный сервис, больше никогда не буду заказывать. Это не доставка еды, а настоящий аттракцион с постоянно меняющейся ценой. Оформляю заказ, ввожу промокод, но итоговая сумма не изменяется. Заказанное молоко прибыло с треснувшей упаковкой и вытекло. Как так можно доставлять? Курьер опаздывает. Хочу получить часть заказа бесплатно в качестве компенсации.",5 8 37 20 13 21 9 26 14 37
"Не могу понять, почему у вас такие завышенные цены на обычные продукты. Сделайте больше акций выходного дня. Искал свой товар среди привезенного, но его там нет. Загадка. Сделал заказ, а потом выяснилось, что вы не доставляете по моему адресу. Зря потратил время! Не хватает программы лояльности для тех, кто заказывает часто. Очень жаль, что скидка на корзину не распространяется на все товары. Заказ отменили, но деньги так и не вернулись.",12 23 13 6 22 24 49
"Овощи оказались испорчены, хотя срок годности в норме. Прошу компенсировать задержку заказа. Сборка идет слишком долго, жду уже полчаса. Курьер сказал, что товар где-то потерялся. И что мне теперь делать? Заказ собирают уже больше часа. У Яндекс.Еды такого никогда не было! Почему у вас банальная бутылка воды стоит в полтора раза дороже, чем в магазине?",40 37 35 13 36 12
"Отсутствие доставки в мой район серьезно снижает привлекательность вашего сервиса. Оператор поддержки не смог решить мою проблему и просто закрыл обращение. Лапша быстрого приготовления с истекшим сроком. Специи внутри слиплись в комок. Очень разочарован. Отменили часть заказа без предупреждения и даже не предложили альтернативу. Почему нельзя сообщить заранее, что товара нет в наличии? Узнал об этом только при получении заказа. Очень неудобно, что приложение зависает на этапе оплаты.",6 30 15 7 7 42
Хотелось бы видеть больше акций на всю корзину.,23
"Картофель проросший и в земле. Приложение зависает, приходится перезапускать. Фрукты с плесенью в упаковке. Как это вообще попало на доставку? Опоздание на час - это перебор. Хочу компенсацию в виде промокода на следующий заказ. Почему нельзя доставить заказ всего на пару километров дальше? Ваша зона доставки слишком ограничена. Заказанные конфеты слиплись в один большой ком. Вы их в сауне хранили? Деньги за отмененный заказ до сих пор не вернули. Отметила, что вход через арку. Курьер проехал мимо. Для чего нужны комментарии, если их не читают? Каждый раз приложение зависает на этапе оформления заказа. Обещали вернуть деньги за неподошедший товар в течение недели. Уже месяц прошёл, а воз и ныне там.",27 42 15 37 6 14 49 17 42 49
"Скидка по промокоду из Telegram-канала не применяется. Непонятно, какие товары получили скидку, нужна больше информации. Разочарован работой доставки. Удалили товар из заказа без предупреждения и без предложения замены. Зависает каждый раз при добавлении товаров в корзину. Кладут химию и продукты вместе, неприемлемо. Приложение зависает, невозможно нормально оформить заказ. Молочные продукты были испорчены, хотя срок годности нормальный.",26 25 7 42 31 42 40
"Почему вы присылаете товары, которые вот-вот испортятся? Неужели нельзя выбрать те, что посвежее? Не могу оплатить бонусами СберСпасибо, пишет ошибку. Доставка оказалась пустой. Где мой товар и почему его нет?",11 45 13
"Заказ отменили перед доставкой, хотя я ждал несколько часов.",32
"Не понимаю, почему нельзя применить несколько скидок одновременно ко всем товарам. Курьер не смог найти мой заказ в своей сумке. Мистика какая-то. Где обещанные скидки на следующий заказ? Структура каталога запутанная, сложно ориентироваться. Почему заказ отменили перед самой доставкой? Написал, что вход со двора. Курьер не мог найти подъезд. Комментарии существуют для галочки? Очень рано закрываетесь, неудобно для вечерних заказов.",24 13 22 47 32 17 46
"Вместо заказанного положили совершенно другие товары.",31
"Минимальная сумма заказа делает невозможным спонтанные покупки. Я не всегда хочу заказывать на такую большую сумму!",10
"Крайне разочарован. Заказ привезли неполным, без уведомления и вариантов замены. Очень неудобно, что доставка работает только до 22:00. Хлеб пришел в виде крошек. Это издевательство какое-то! Было бы здорово, если бы акции на всю корзину проходили чаще. Реально не хватает акций на всю корзину, хотелось бы больше таких предложений. Сервис подвел. Отменили часть заказа, не сообщив об этом и не предложив замену. Очень хотелось бы доставку с 6 утра, не хватает ранних слотов. Заказ привезли быстрее, чем обещали. Прошу предоставить скидку за задержку доставки.",7 46 14 23 23 7 46 43 37
"Я не могу понять логику изменения цен. Почему она меняется так часто? Где глобальные сезонные скидки? У других магазинов есть! Это не вписывается ни в одну из текущих тенденций. Помело всё в коричневых пятнах. Почему это так далеко от текущих стандартов? Расширьте зону доставки! Мой адрес всего в паре километров от вашей текущей зоны. Очень доволен быстрой доставкой.",9 23 39 27 39 6 43
"Хотелось бы видеть программу лояльности для частых покупателей. Деньги так и не вернули, прошло уже много времени.",22 49
"Промокод из вашей рассылки оказался недействительным.",26
"Акция на сайте активна, но промокод система не принимает. 40 минут прошло, а заказ до сих пор не передали курьеру. Почему вы не доставляете за город? Там тоже живут люди, которые хотят заказывать.",26 35 6
"В пакете оказались продукты и бытовая химия вместе. Курьер приехал с пустыми руками. Мой заказ потерялся? Лимоны все сморщенные и сухие. Бананы пришли перезрелые и почерневшие. Скидка на корзину не работает с товарами, на которые уже есть скидка.",31 13 27 27 24
"Сыр, который я заказал, уже через два дня покрылся плесенью. Вы что, отправляете самое старое? Курьер не выдал чек после оплаты наличными. На мой запрос в поддержку так и не ответили.",11 48
"Не могу разобраться в приложении, интерфейс неудобный.",41
"Приложение запутанное, интерфейс неудобный. Очень трудно понять, к каким товарам применена скидка. Жду возврат уже очень долго, когда вернут деньги? Не могу активировать бонусы СберСпасибо для оплаты. Молочные продукты привезли испорченные, это неприемлемо. Сколько ещё ждать доставку? Никакой информации о реальном времени прибытия. Хочу получить скидку за долгую доставку. Служба поддержки отвечает шаблонными фразами, не вникая в суть проблемы. Код скидки не работает, хотя я ввел его правильно. Интерфейс запутанный, не нравится приложение.",41 25 49 45 40 4 37 30 26 41
"Ваша зона доставки настолько ограничена, что мой адрес в неё не попадает. Очень неудобно! Отметил, что оплата бонусами. Курьер не знал об этом. Зачем оставлять комментарии, если их игнорируют? Испорченные овощи, не могу их использовать. Зачем вообще нужна минимальная сумма заказа? Дайте людям покупать столько, сколько им нужно!",6 17 40 10
"Заказал продукты, а половину из них просто не привезли. И никто даже не удосужился предупредить! Не нравится, что в каталоге много ненужных баннеров и рекламы. Они только мешают поиску товаров. Это не заказ еды, а настоящий квест 'собери корзину нужной стоимости'. Зависает на этапе подтверждения оплаты. Промокод активен только в браузере, а в приложении он не работает. Хочу доставку до 24:00, рано закрываетесь. Пожалуйста, добавьте доставку с 6 утра. Почему нельзя отследить курьера на карте? Это было бы удобно. Приложение зависает, когда пытаюсь оплатить. Не понимаю, почему нельзя показать курьера на карте. Это стандартная функция сейчас.",7 47 9 42 26 46 46 5 42 5
"Деньги за отмененный заказ так и не вернулись, прошло уже много времени. Хочу компенсацию за опоздание курьера. Курьер решил отменить заказ, не доехав до дома. Корзинная скидка не действует на товары со скидкой, это разочаровывает. После долгого ожидания заказ отменили, это ужасно.",49 37 38 24 32
"Ваша служба доставки не работает в нашем районе. Это большое упущение, здесь много потенциальных клиентов. Почему у вас такая высокая минимальная сумма заказа? Это отпугивает клиентов. Странно, что вы не доставляете в мой район. Он вполне обычный, не окраина какая-нибудь. Приложение сложное в использовании, интерфейс оставляет желать лучшего. Акция '3 по цене 2' на напитки не сработала. Товар закончился, хотя акция только началась. Акция не распространяется на товары, которые я выбрал.",6 8 6 41 26 29 26
"Не могу активировать СберСпасибо, постоянно сбои. Обеспечьте курьеров питанием во время смены. Длительная работа без еды влияет на их здоровье и настроение. Очень недоволен обслуживанием. Отменили товары без предупреждения и альтернатив. Уведомлений о поступлении нет, и товар быстро пропадает. Проблемы с активацией СберСпасибо, не удается подключить. Хочу скидку за опоздание курьера. Скидка на день рождения не активировалась автоматически. Скидка на корзину не распространяется на товары со скидками с витрины, это неудобно. Заказ отменили прямо перед доставкой. Мой заказ был отменен курьером, хотя он был на месте.",45 44 7 29 45 37 26 24 32 38
"Жду заказ уже 30 минут, и курьер еще не отправился. Не понимаю, почему нельзя оформить заказ после 22:00. Система просто не принимает заявки, это неудобно. Совсем не тянет на современные тренды. Жду уже больше часа, и заказ еще не готов. Проблемы с подключением СберСпасибо, не удается оплатить. Неуважение к клиентам. Удалили часть заказа без предупреждения и без предложения альтернативы. Можно ли автоматически получать компенсации за опоздания? Не понимаю, почему промокод сработал не на все выбранные товары. Курьер не мог прочитать адрес доставки на русском. Это недопустимо. Грибы все почерневшие и склизкие.",35 46 39 35 45 7 37 25 33 27
"Просто супер, доставка заняла меньше часа. Хочу компенсацию за задержку. Оливковое масло пришло прогорклым. Срок годности истек еще в прошлом году. Заказ отменили после долгого ожидания. Неясно, почему скидка не применилась к некоторым товарам.",43 37 15 32 25
"Пересмотрите систему штрафов для курьеров. Сейчас она слишком жёсткая и несправедливая.",44
"Просто великолепно, заказ привезли очень быстро.",43
"Вместо полного заказа получил только часть. Остальное испарилось? Зависает при оформлении заказа, невозможно оформить покупку. Самокат собирает заказы намного быстрее. Может, вам у них поучиться? Оплата через приложение не работает, приходится перезапускать. Отсутствие доставки по моему адресу - главный минус вашего сервиса. Сыр покрылся плесенью раньше срока годности. Не удается подключить бонусы СберСпасибо, пишет ошибку. Не нравится, что в каталоге постоянно всплывают какие-то истории. Они отвлекают от поиска товаров.",13 42 36 48 6 27 45 47
"Заказ пропал по пути ко мне. Никто не знает, куда он делся. Хотелось бы видеть курьера на карте, чтобы знать, когда ожидать доставку. Уже в пятый раз пытаюсь добить сумму до минимальной. Это издевательство! Могли бы сделать скидки для тех, кто заказывает часто. Почему у вас нет скидок для постоянных клиентов? Платежи не проходят, приходится перезапускать приложение. Получил пустую коробку вместо заказанного товара. Кто виноват? Замороженные продукты просто в обычном пакете, всё потекло.",13 5 9 22 22 48 13 31
"Проблемы с оплатой, постоянно сбои при оплате картой. Почему вы не можете честно указать реальное время доставки? Постоянно опаздываете на час-полтора.",48 2
"Не могу заказать нужный мне товар, потому что он дешевле минимальной суммы заказа. Это ужасно! Постоянные проблемы с платежами, не могу оплатить заказ.",10 48
"Курьер еще не выехал, хотя прошло уже полчаса.",35
"Очень быстрая доставка, все на высоте. Каждый раз приложение зависает при выборе товара. Закажу лучше в следующий раз в Утконосе. Они хотя бы вовремя доставляют. Скидки типа 'товар за 1 рубль' должны быть чаще, ведь это очень выгодно. Приложение работает нестабильно, зависает при оплате. Как узнать, на какие товары распространяется текущая акция? Пожалуйста, добавьте круглосуточную доставку, неудобно заказывать вечером.",43 42 36 23 42 25 46
"Когда вы расширите зону доставки до моего адреса? Я готов платить больше за доставку! Пользуюсь вашими услугами уже давно, но хотелось бы видеть программу лояльности. Очень неудобно, что доставка не работает ночью. Почему каждый раз, когда я готов оформить заказ, сумма внезапно меняется? В заказе указал, что нужны приборы. Не положили. Зачем вообще комментарии, если их игнорируют? Очень сложно понять, какие товары получили скидку. Нужные товары вечером всегда заканчиваются. Это какой-то замкнутый круг - добавляешь товар, а сумма все равно не достигает минимума. Сделал заказ, а потом выяснилось, что по моему адресу не доставляют. Почему сразу не предупредили? Перепутали товары, вместо сахара положили соль.",6 22 46 9 17 25 29 9 6 31
Жду возврат денег уже больше месяца.,49
"Почему не компенсируют опоздание автоматически? Не понимаю, почему нельзя было предупредить, что товара нет в наличии. Просто не привезли и всё. Колбаса вся в белом налете. На упаковке дата - позавчерашний день. Сборка заказа занимает слишком много времени. Оплатил заказ через СБП, но деньги не дошли. Служба поддержки разводит руками, а я остался и без денег, и без товара. Мало акций на все товары в заказе, добавьте больше. Очень быстро доставили, доволен. Когда будут новые акции? Давно не было ничего интересного. При регистрации в программе СберСпасибо требуется куча лишней информации. Зачем всё это усложнять? Заказал товар, но решил отменить. Прошло уже две недели, а деньги так и не вернули. Очень недоволен!",37 7 15 35 48 23 43 23 45 49
"Заказал продукты впрок, а они все оказались с минимальным сроком годности. Очень неудобно. Интерфейс приложения не нравится, все слишком сложно. Совсем не вписывается в современные тенденции. Непонятно, какие товары получили скидку, информация неполная. Заказ доставили быстрее, чем я ожидал. Почему скидка не применилась ко всей корзине? Жду возврат денег, но их до сих пор нет. Скидка на молочные продукты не отобразилась в итоговой сумме.",11 41 39 25 43 25 49 26
"Хочу, чтобы уведомляли о поступлении в первую очередь. Не проходит платеж через СБП, что делать? Трудно понять, как работает система скидок в корзине.",29 48 25
"Хотелось бы знать точное время доставки, а не гадать на кофейной гуще. Ужасное впечатление от обслуживания. Заказ привезли неполным, без объяснений и альтернатив. Это какое-то издевательство над покупателями - постоянно менять сумму заказа. Рис в пакете весь в каких-то жучках. Глянул на срок - просрочка. Почему нельзя добавить отслеживание курьера на карте? Это бы сделало сервис намного удобнее. Товары для животных и еда в одном пакете, это неприемлемо. Сервис подводит. Отменили часть заказа молча, даже не попытавшись предложить альтернативу.",4 7 9 15 5 31 7
"Уже несколько раз пытался заказать, но вы не доставляете по моему адресу. Исправьте это! Очень неудобно, что доставка не работает ночью.",6 46
"Получил просроченное молоко. Как так можно? Оно уже скисло! Лук пришёл гнилой и мокрый. Возмутительно! Часть заказа отменили, не предложив замену и даже не сообщив об этом. Пожалуйста, добавьте круглосуточную доставку. Очень разочарован тем, что товары исчезают из заказа без уведомления. Хотя бы замену предлагайте! Почему доставка не работает после 23:00? Сделайте круглосуточную. Скидка по промокоду из Facebook не применяется. Почему у вас такие высокие цены на бытовую химию? В обычном магазине она стоит в разы дешевле. Хотелось бы получать больше скидок на все товары в заказе. Просто великолепно, доставка заняла меньше часа.",15 27 7 46 7 46 26 12 23 43
"Соленья в банке покрылись плесенью. Срок годности истек еще зимой. Платеж через карту не прошел, пришлось использовать наличные. Отправила назад дефектный товар, но вместо быстрого возврата денег получила только кучу нервотрёпки и ожидания. Я потратил больше времени на подгонку суммы заказа, чем на выбор продуктов. Мясо испорчено, хотя срок годности не истек. Очень рано закрываетесь, хотелось бы доставку до 24:00.",15 48 49 9 40 46
"Почему курьер ещё не взял заказ? Прошло уже 40 минут с момента оформления. Навигация по каталогу неудобная, трудно найти товары. Каждый раз при оплате бонусами СберСпасибо система выдает ошибку. Я чувствую себя как на американских горках - цена то вверх, то вниз. Жду заказ 45 минут, и до сих пор не началась доставка. Хотелось бы иметь возможность видеть курьера на карте для более комфортного ожидания. Хотелось бы видеть какие-то предложения для тех, кто заказывает часто. Почему акция не распространяется на мой заказ?",35 47 45 9 35 5 22 26
"Зависает при переходе на страницу оплаты. Почему ваша зона доставки не включает промышленную зону? Там тоже люди работают и заказывают еду. Почему в доставке всегда товары с минимальным сроком годности? Хочется, чтобы продукты хранились дольше. Оформил заказ, но его отменили, хотя ждал несколько часов. Получил коробку, а в ней - ничего. Как так вышло с моим заказом? Оказывается, в мой район вообще нет доставки. Почему нельзя расширить зону обслуживания? Организуйте регулярные медосмотры для курьеров. Их здоровье важно для качественной работы.",42 6 11 32 13 6 44
"Хотелось бы видеть благодарность за постоянство в виде скидок. Половина заказа отсутствует. Никто даже не предупредил об этом. Заказываю у вас постоянно, но программу лояльности так и не увидел. Заказ пришел за 30 минут, это очень быстро. Писал, что подъезд с обратной стороны дома. Курьер не нашел и уехал. Комментарии не читают? Каждый раз приложение зависает при оплате заказа.",22 13 22 43 17 42
"Орехи прогоркли. Оказывается, их срок годности истек еще три месяца назад. Никогда не сталкивалась с таким долгим процессом возврата денег. Прошло уже 1,5 месяца, а результата нет.",15 49
"Каждый раз при попытке оплаты бонусами СберСпасибо пишет сбой. Качество продуктов нормальное. Интерфейс запутанный, сложно найти нужные функции. Курьер сам отменил заказ, даже не позвонил. Заказал яйца, а привезли какое-то месиво. Все разбиты! Слишком рано закрываетесь, хотелось бы круглосуточную доставку. Отметил, что заказ на самовывоз. Пытались доставить на дом. Комментарии к заказу вообще имеют смысл?",45 20 41 38 14 46 17
"Неудобный поиск, не находит нужные товары сразу. Живу в пригороде, и ваша служба отказывается сюда доставлять. Это дискриминация! Почему нет опции увидеть курьера на карте? Это бы значительно улучшило сервис.",47 6 5
"Заказываю много, но программа лояльности отсутствует. Кошмар какой-то, а не магазин. Не хватает акций на всю корзину, хотелось бы видеть их чаще. Платежи не проходят, приходится использовать другую карту.",22 21 23 48
"Когда уже наступит весна? Написала, что нужен звонок в 408 квартиру. Звонили соседям. Комментарии существуют для галочки? На сайте указана скидка, но при оплате все по полной цене.",19 17 26
"Постоянные сбои при оплате бонусами СберСпасибо. Хочу получать скидку за частые заказы, это возможно? Товары для животных и продукты вместе в одном пакете. Очень расстроен качеством обслуживания. Часть заказа не доставили, не предупредив. Интерфейс приложения неудобный, слишком сложно разобраться. Доставили очень быстро, удивительно! Я уже запутался в своем заказе. Столько раз пришлось его корректировать из-за цены.",45 22 31 7 41 43 9
"Перепутали товары в заказе, положили чужие продукты. Платежи не проходят, приходится перезапускать приложение. Отменила заказ сразу после оформления, а деньги вернули только через 20 дней. Это просто издевательство! Структура каталога неудобная, сложно найти нужное. Мой заказ отменили, хотя я ждал его долго. Не могу оплатить заказ через карту, пишет ошибку. Почему вы не доставили весь заказ целиком? Не хватает нескольких товаров. Поиск работает медленно, не находит товары быстро. Творожный сыр прокис раньше срока.",31 48 49 47 32 48 13 47 27
"Курьер приехал без терминала, хотя я выбрал оплату картой. Пришлось срочно искать наличные. Прошу компенсировать задержку заказа. Очень нравится ваша служба доставки, но нет бонусов для постоянных клиентов. Товар не доехал до меня. В пути что-то случилось? Отметила, что живу в общежитии, нужно позвонить вахтеру. Курьер не мог попасть внутрь. Комментарии игнорируются полностью? Платеж не прошел, пришлось перезапускать приложение. Указала, что нужен подъем на 7 этаж. Курьер отказался подниматься. Для чего тогда пишутся комментарии? Курица с неприятным запахом. Обещали быстрый возврат средств, а на деле уже 3 недели мурыжат. Больше с этой компанией дел иметь не хочу.",48 37 22 13 17 48 17 27 49
"Запускайте чаще акцию 'товар за 1 рубль'! Больше не доверяю этому сервису. Отменяют товары, не сообщая и не предлагая замену. Я уже не уверен, что мой заказ хоть как-то похож на то, что я хотел изначально. Это не подходит ни под одну текущую тенденцию. Хотелось бы видеть больше скидок и промокодов на все заказы. Заказ собирается уже 35 минут, и курьер еще не отправился. Отсутствие отображения курьера на карте создает неопределенность в процессе доставки. Выдайте курьерам солнцезащитные очки и кепки для работы летом. Это защитит их от перегрева. Очень разочарован, что вы перестали работать круглосуточно. Это был ваш главный плюс.",23 7 9 39 23 35 5 44 46
"Постоянным клиентам могли бы предоставлять скидку на следующий заказ. Отсутствие доставки в мой район - единственная причина, почему я не пользуюсь вашим сервисом регулярно. Много раз заказывал, но скидки для постоянных клиентов не вижу.",22 6 22
"Прошло 40 минут, а заказ всё ещё на сборке. Почему так долго? Очень неудобно, что доставка работает только до 22:00. Каталог запутанный, невозможно быстро найти товар. Я сравнил ваши цены с ценами в ближайшем супермаркете. Разница просто шокирующая! Было бы классно, если бы вы ввели скидки для постоянных клиентов. Заказ отменили, а деньги до сих пор не вернули. Приложение зависает в момент добавления товара в корзину.",35 46 47 12 22 49 42
